"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","41.33","41.12","41.77","41.00","20.73M","0.17%"
"11/13/2025","41.26","41.88","42.59","41.00","42.50M","-1.08%"
"11/12/2025","41.71","41.70","42.87","41.50","48.74M","1.26%"
"11/11/2025","41.19","41.00","41.73","39.92","61.74M","0.22%"
"11/10/2025","41.10","39.20","42.30","38.00","107.66M","4.87%"
"11/07/2025","39.19","41.24","41.24","39.00","47.89M","-4.58%"
"11/06/2025","41.07","40.15","41.75","38.50","116.77M","0.86%"
"11/04/2025","40.72","43.02","43.37","40.40","89.47M","-7.22%"
"11/03/2025","43.89","46.00","46.58","43.05","71.98M","-5.45%"
"10/31/2025","46.42","46.30","47.60","45.60","33.05M","-0.28%"
"10/30/2025","46.55","45.94","47.75","45.60","37.97M","0.54%"
"10/29/2025","46.30","43.68","47.60","43.31","86.78M","6.00%"
"10/28/2025","43.68","44.70","45.09","43.27","19.64M","-2.13%"
"10/27/2025","44.63","45.15","45.73","44.50","18.89M","-1.26%"
"10/24/2025","45.20","45.30","45.35","44.80","12.84M","0.27%"
"10/23/2025","45.08","44.55","46.58","44.41","32.79M","1.58%"
"10/21/2025","44.38","44.16","44.80","44.16","4.19M","0.50%"
"10/20/2025","44.16","45.00","45.07","44.04","13.56M","-1.08%"
"10/17/2025","44.64","45.30","45.48","44.50","12.41M","-0.91%"
"10/16/2025","45.05","45.25","46.08","44.40","17.65M","0.36%"
"10/15/2025","44.89","45.00","46.40","44.40","28.90M","-0.47%"
"10/14/2025","45.10","46.56","46.71","44.71","25.30M","-2.42%"
"10/13/2025","46.22","43.55","47.51","43.55","82.07M","-4.86%"
"10/10/2025","48.58","44.10","50.73","44.10","119.82M","9.29%"
"10/09/2025","44.45","44.90","44.94","43.75","13.59M","-0.76%"
"10/08/2025","44.79","45.54","46.00","44.38","18.73M","0.52%"
"10/07/2025","44.56","45.00","45.29","44.40","10.62M","-1.74%"
"10/06/2025","45.35","46.20","46.60","45.15","10.25M","-2.43%"
"10/03/2025","46.48","45.88","47.40","45.22","18.24M","1.71%"
"10/01/2025","45.70","44.30","45.88","44.12","16.46M","3.02%"
"09/30/2025","44.36","45.39","45.78","44.11","9.96M","-1.18%"
"09/29/2025","44.89","45.02","45.98","44.18","15.37M","0.29%"
"09/26/2025","44.76","46.23","46.30","44.50","10.41M","-2.72%"
"09/25/2025","46.01","46.61","47.10","45.91","7.08M","-0.97%"
"09/24/2025","46.46","47.86","47.99","46.31","9.62M","-2.88%"
"09/23/2025","47.84","48.99","49.03","47.61","10.41M","-2.03%"
"09/22/2025","48.83","47.89","49.37","47.70","23.19M","1.64%"
"09/19/2025","48.04","47.55","48.25","46.57","20.86M","1.26%"
"09/18/2025","47.44","48.98","48.99","47.30","15.74M","-2.85%"
"09/17/2025","48.83","47.93","49.28","47.60","25.88M","1.88%"
"09/16/2025","47.93","45.89","47.93","45.77","47.95M","4.99%"
"09/15/2025","45.65","45.66","46.70","45.52","9.90M","-0.31%"
"09/12/2025","45.79","46.45","46.98","45.55","13.54M","-1.31%"
"09/11/2025","46.40","46.70","47.50","45.90","13.21M","-0.77%"
"09/10/2025","46.76","46.90","47.58","44.60","20.10M","0.28%"
"09/09/2025","46.63","46.39","46.94","45.60","11.78M","1.00%"
"09/08/2025","46.17","47.10","47.40","46.03","4.75M","-1.60%"
"09/05/2025","46.92","46.70","47.44","45.70","8.78M","1.06%"
"09/04/2025","46.43","48.25","48.48","45.66","7.18M","-2.76%"
"09/03/2025","47.75","46.98","48.34","46.67","17.39M","3.27%"
"09/02/2025","46.24","44.45","46.24","44.11","8.20M","5.00%"
"09/01/2025","44.04","44.50","44.90","43.55","8.16M","0.27%"
"08/29/2025","43.92","45.20","45.50","43.55","6.84M","-2.79%"
"08/28/2025","45.18","44.50","46.24","43.75","11.71M","1.01%"
"08/26/2025","44.73","44.13","47.46","44.13","19.50M","-3.72%"
"08/25/2025","46.46","46.61","47.45","46.46","6.08M","-5.01%"
"08/22/2025","48.91","50.85","50.85","48.10","13.41M","-2.36%"
"08/21/2025","50.09","49.90","50.09","48.66","16.83M","4.99%"
"08/20/2025","47.71","46.77","47.71","46.35","9.16M","5.00%"
"08/19/2025","45.44","43.50","45.44","43.50","11.44M","4.99%"
"08/18/2025","43.28","44.50","44.92","43.00","10.73M","-0.05%"
"08/14/2025","43.30","42.00","44.00","41.88","8.08M","2.39%"
"08/13/2025","42.29","44.10","44.10","41.76","16.46M","-3.80%"
"08/12/2025","43.96","44.10","44.65","43.37","7.24M","0.32%"
"08/11/2025","43.82","43.03","44.68","42.50","11.53M","1.84%"
"08/08/2025","43.03","44.15","45.70","42.86","17.57M","-4.63%"
"08/07/2025","45.12","45.80","46.50","45.08","24.25M","-4.93%"
"08/06/2025","47.46","43.55","47.46","42.94","62.42M","5.00%"
"08/05/2025","45.20","45.20","45.20","45.20","4.79M","-5.00%"
"08/04/2025","47.58","47.58","47.58","47.58","4.33M","-5.01%"
"08/01/2025","50.09","50.43","51.89","50.09","18.17M","-5.01%"
"07/31/2025","52.73","52.20","54.29","51.25","9.08M","-1.18%"
"07/30/2025","53.36","56.30","56.49","53.36","13.11M","-5.00%"
"07/29/2025","56.17","52.16","56.50","51.80","25.47M","4.13%"
"07/28/2025","53.94","55.00","56.74","53.94","39.58M","-5.00%"
"07/25/2025","56.78","56.78","58.27","56.78","9.82M","-5.00%"
"07/24/2025","59.77","62.77","62.77","59.77","13.85M","-5.01%"
"07/23/2025","62.92","60.80","63.70","59.00","17.45M","2.54%"
"07/22/2025","61.36","63.25","63.25","61.29","13.27M","-3.40%"
"07/21/2025","63.52","64.02","64.70","63.25","7.14M","-0.78%"
"07/18/2025","64.02","64.80","65.00","63.00","10.00M","-1.67%"
"07/17/2025","65.11","66.38","66.60","65.00","8.46M","-1.42%"
"07/16/2025","66.05","64.50","66.85","64.31","12.92M","2.36%"
"07/15/2025","64.53","65.50","65.90","64.26","6.98M","-1.16%"
"07/14/2025","65.29","65.25","66.10","64.25","9.21M","0.74%"
