"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","25,910.05","25,767.90","25,940.20","25,740.80","518.94M","0.12%"
"11/13/2025","25,879.15","25,906.10","26,010.70","25,808.40","385.17M","0.01%"
"11/12/2025","25,875.80","25,834.30","25,934.55","25,781.15","312.59M","0.70%"
"11/11/2025","25,694.95","25,617.00","25,715.80","25,449.25","297.71M","0.47%"
"11/10/2025","25,574.35","25,503.50","25,653.45","25,503.50","243.59M","0.32%"
"11/07/2025","25,492.30","25,433.80","25,551.25","25,318.45","305.61M","-0.07%"
"11/06/2025","25,509.70","25,593.35","25,679.15","25,491.55","371.85M","-0.34%"
"11/04/2025","25,597.65","25,744.75","25,787.40","25,578.40","305.14M","-0.64%"
"11/03/2025","25,763.35","25,696.85","25,803.10","25,645.50","23.35M","0.16%"
"10/31/2025","25,722.10","25,863.80","25,953.75","25,711.20","334.38M","-0.60%"
"10/30/2025","25,877.85","25,984.40","26,032.05","25,845.25","257.37M","-0.68%"
"10/29/2025","26,053.90","25,982.00","26,097.85","25,960.30","321.88M","0.45%"
"10/28/2025","25,936.20","25,939.95","26,041.70","25,810.05","395.23M","-0.11%"
"10/27/2025","25,966.05","25,843.20","26,005.95","25,827.00","266.34M","0.66%"
"10/24/2025","25,795.15","25,935.10","25,944.15","25,718.20","284.91M","-0.37%"
"10/23/2025","25,891.40","26,057.20","26,104.20","25,862.45","448.40M","0.09%"
"10/21/2025","25,868.60","25,901.20","25,934.35","25,825.80","42.47M","0.10%"
"10/20/2025","25,843.15","25,824.60","25,926.20","25,788.50","301.13M","0.52%"
"10/17/2025","25,709.85","25,546.85","25,781.50","25,508.60","422.06M","0.49%"
"10/16/2025","25,585.30","25,394.90","25,625.40","25,376.85","372.78M","1.03%"
"10/15/2025","25,323.55","25,181.95","25,365.15","25,159.35","289.93M","0.71%"
"10/14/2025","25,145.50","25,277.55","25,310.35","25,060.55","292.13M","-0.32%"
"10/13/2025","25,227.35","25,177.30","25,267.30","25,152.30","234.29M","-0.23%"
"10/10/2025","25,285.35","25,167.65","25,330.75","25,156.85","232.94M","0.41%"
"10/09/2025","25,181.80","25,074.30","25,199.25","25,024.30","286.25M","0.54%"
"10/08/2025","25,046.15","25,079.75","25,192.50","25,008.50","227.44M","-0.25%"
"10/07/2025","25,108.30","25,085.30","25,220.90","25,076.30","287.99M","0.12%"
"10/06/2025","25,077.65","24,916.55","25,095.95","24,881.65","268.79M","0.74%"
"10/03/2025","24,894.25","24,759.55","24,904.80","24,747.55","365.85M","0.23%"
"10/01/2025","24,836.30","24,620.55","24,867.95","24,605.95","308.90M","0.92%"
"09/30/2025","24,611.10","24,691.95","24,731.80","24,587.70","303.04M","-0.10%"
"09/29/2025","24,634.90","24,728.55","24,791.30","24,606.20","394.39M","-0.08%"
"09/26/2025","24,654.70","24,818.55","24,868.60","24,629.45","291.54M","-0.95%"
"09/25/2025","24,890.85","25,034.50","25,092.70","24,878.30","342.53M","-0.66%"
